pais,prop,proplabel,lb,ub
GY,61.829258,62%,58.790882,64.86763
DO,56.089348,56%,51.80056,60.378136
SV,56.016693,56%,53.283779,58.749607
EC,51.829494,52%,48.855976,54.803009
MX,51.285732,51%,48.272041,54.299423
JM,47.501301,48%,44.62104,50.381565
PE,41.775074,42%,37.820686,45.729462
