varlabel,vallabel,prop,proplabel,lb,ub
Gender,Women,20,20%,19,21
Gender,Men,22,22%,21,23
Age,18-25,21,21%,20,22
Age,26-35,24,24%,23,25
Age,36-45,22,22%,21,23
Age,46-55,21,21%,20,22
Age,56-65,17,17%,15,19
Age,66+,15,15%,13,17
Education,None,20,20%,16,24
Education,Primary,18,18%,17,19
Education,Secondary,21,21%,20,22
Education,Post-Sec.,25,25%,24,26
Wealth,Low,21,21%,20,22
Wealth,2,21,21%,20,22
Wealth,3,21,21%,20,22
Wealth,4,21,21%,20,22
Wealth,High,22,22%,21,23
