varlabel,coef,lb,ub,pvalue,proplabel
Intimate Partner,.023505067,-.0023842717,.049394406,.075158469,0.02
Wealth,-.070497751,-.11007218,-.030923316,.00048187035,-0.07
Education,-.24093913,-.29521742,-.18666083,3.8767453e-18,-0.24
Age,.0098042246,-.06046648,.080074929,.78448021,0.01
Male,.11018795,.085011177,.13536473,1.1204970e-17,0.11
